iter	PRAUC	Logloss	PRAUC:use_weights=true	PRAUC:use_weights=false	Recall:use_weights=true	Recall:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	F1:use_weights=true	F1:use_weights=false
55	0.7738194995	0.6188262885	0.7738194995	0.507480541	0.6592481765	0.6592481765	0.6918231912	0.3429989296	0.6751429838	0.4512288786
56	0.774083207	0.6181325766	0.774083207	0.507876236	0.6614924257	0.6614924257	0.6919171565	0.3430982637	0.6763628161	0.4518395503
57	0.7742523274	0.6175249436	0.7742523274	0.5080405377	0.6618664672	0.6618664672	0.6919432452	0.3431258484	0.6765707573	0.4519507056
58	0.7746953065	0.6168739681	0.7746953065	0.5086784471	0.662801571	0.662801571	0.6920554858	0.3432445521	0.6771127048	0.4522715671
59	0.774568098	0.6160842566	0.774568098	0.5084165922	0.6624275295	0.6624275295	0.6922811291	0.3434833204	0.6770253886	0.4523915959
60	0.7745014116	0.6154534917	0.7745014116	0.5084050582	0.6622405087	0.6622405087	0.6922839194	0.3434862741	0.676929032	0.4523505365
61	0.7745956609	0.6146481421	0.7745956609	0.5085131111	0.662801571	0.662801571	0.6922755532	0.3434774181	0.6772180211	0.4524736674
62	0.774652716	0.6141541648	0.774652716	0.5085254661	0.663549654	0.663549654	0.6924529424	0.343665246	0.6776932604	0.4528109246
63	0.7747572892	0.6134357622	0.7747572892	0.5087333776	0.6639236955	0.6639236955	0.6923530573	0.3435594697	0.6778404178	0.4528061224
64	0.7751619794	0.6129214797	0.7751619794	0.5093273114	0.6646717786	0.6646717786	0.6927498485	0.3439798684	0.6784204181	0.4533452389
65	0.7754979192	0.6123758361	0.7754979192	0.5099286969	0.6654198616	0.6654198616	0.6928323103	0.3440673049	0.6788494649	0.4535951045
66	0.7757215431	0.6117470736	0.7757215431	0.5102616562	0.6659809239	0.6659809239	0.6927294784	0.343958273	0.6790919054	0.4536305732
67	0.775703786	0.6111648705	0.775703786	0.5101295054	0.6657939031	0.6657939031	0.6924503645	0.3436625157	0.6788605583	0.4533299376
68	0.7760938382	0.6105720865	0.7760938382	0.5107014486	0.6663549654	0.6663549654	0.6927236732	0.3439521189	0.6792835178	0.4537119572
69	0.7763330685	0.6099585185	0.7763330685	0.5110593121	0.6665419862	0.6665419862	0.69262685	0.3438494935	0.6793341107	0.4536659878
70	0.7764161714	0.609576958	0.7764161714	0.5111549897	0.6678511315	0.6678511315	0.6929193291	0.3441595991	0.6801543264	0.4542390129
71	0.7765431538	0.6090007322	0.7765431538	0.5113159318	0.668973256	0.668973256	0.6926832219	0.3439092395	0.680621813	0.4542799086
72	0.7767236085	0.6084837562	0.7767236085	0.5116649029	0.6699083598	0.6699083598	0.6929181419	0.3441583397	0.6812190038	0.4547127896
73	0.7768332475	0.6081065128	0.7768332475	0.5118369556	0.6693472976	0.6693472976	0.6925527844	0.3437710114	0.6807523412	0.4542454626
74	0.7771221939	0.6074244453	0.7771221939	0.5123652724	0.6702824013	0.6702824013	0.6926942499	0.3439209289	0.6813040631	0.4545915779
